¿Qué modalidad prefieres?,¿Por qué?,¿Sientes que hubo un incremento en la cantidad de tareas en la modalidad virtual?,La dificultad de tus tareas en la modalidad virtual en comparación a la modalidad presencial es…,¿Por qué sientes que la dificultad ha incrementado?,¿En qué modalidad se te facilita más el aprendizaje?,"¿En qué modalidad inviertes más tiempo como estudiante? Ej: Tiempo de camino + Tareas + Tareas, etc",¿Por qué?,¿Crees que en algún futuro la modalidad virtual sustituya la modalidad presencial?,¿Qué carrera estudias?,¿Qué recomiendas para mejorar la educación virtual?
Virtual,Se puede trabajar y estudiar con mayor facilidad ,Si,Mayor,Se estan dejando mas tareas en lugar de comprender los temas ,Virtual,Presencial,El transporte a la universidad es de 2 hrs de camino ,Si,Ingeniería en Computación ,"Menos tareas, y mas practicas con ejercicios prácticos "
Virtual,"Pierdo menos tiempo en transcurso, si un profesor llega tarde o no llega puedo aprovechar ese tiempo haciendo tareas o estudiando más cosas ",Si,La misma,Más que incrementar la dificultad eran tareas más largas de desarrollar,Virtual,Presencial,"Moverme a la escuela, si existen algunas horas libres dentro de clases es un tiempo que no aprovecho de la misma manera presencialmente ",Tal vez,Desarrollo de software,"Establecer horarios para clases, otros días para dudas y que los detalles de tareas se toquen en estas clases no únicamente suban la tarea a n plataforma"
Presencial,Por las prácticas de laboratorio y además me motiva más ver a mis maestras ,Tal vez,Mayor,No es mi estilo y me distraigo fácilmente ,Presencial,Presencial,"Porque tengo que trasladarme a la Uni, bañarme y así ",No,Ingeniería en Nanotecnologia ,Comenzar con un sistema híbrido 
Presencial,"No hay punto de comparación en cuestiones de enseñanza, es complejo el trasladar un sistema que fue creado para ser presencial a algo virtual.",Si,La misma,No es mi estilo de aprendizaje,Presencial,Virtual,"Creo que conlleva varios distractores de por medio, ciertas dificultades técnicas y demás cosas que son fuera de nuestro alcance. ",Tal vez,Diseño para la Comunicación Gráfica ,Una mejor administración en el tiempo en las videollamadas 
Virtual,Que hueva ir a la escuela,No,La misma,"Nunca dije que la dificultad ha incrementado, de hecho lo han hecho más fácil",Presencial,Presencial,Porque el translado + tiempo muerto (tiempo entre clases) es mucho,Si,Programación de videojuegos,Que los profesores aprendan a usar herramientas para hacer dibujos/diagramas en linea
Presencial,Retroalimentación de los profesores e incentivos en el salón,Si,La misma,Demasiados distractores,Presencial,Presencial,Por las razones listadas en la pregunta,No,Ingeniería Financiera,Interacción en tiempo real con el ejemplo que realiza el profesor
Virtual,Hago demasiado tiempo a la escuela,Si,Mayor,Demasiados distractores,Presencial,Presencial,Demasiado tiempo de camino,No,Mercadotecnia,Capacitar de mejor manera a los profesores para que sepan que dejar mas tarea no es dar mejor la clase.
Virtual,Se aprovechan mejor los tiempos y hay menos gastos.,Si,Mayor,El profesor no explica bien,Virtual,Presencial,Los traslados.,Tal vez,Ing. En tecnologías de software.,Tener un control sobre los trabajos que dejan los profesores ya que no solo es una materia.
Virtual,Me da tiempo de trabajar y estudiar,Si,La misma,No creo que incrementara,Presencial,Presencial,Del trabajo a la uni pierdo tiempo valioso,No,Diseño Industrial,Capacitar mejor a los profesores
Virtual,Me ahorro los camiones,Si,La misma,Es lo mismo,Virtual,Presencial,Por los traslados,Si,Letras,Mejor organización de tiempos
Presencial,Las clases presenciales exigen un nivel de compromiso y de responsabilidad mayor a las clases online,Si,La misma,No es mi estilo de aprendizaje,Presencial,Presencial,En mi caso el tiempo de translado a el C.U es de 1:30 hora o hasta 2,Tal vez,ING informática,Mayor atención al seguimiento del aprendizaje 
Presencial,Se disfruta.mas,No,La misma,No es mi estilo de aprendizaje,Presencial,Presencial,Tienes que ir y eso genera que toque el trafico,Tal vez,Ya no estudio,Menos alumnos por sesion
Virtual,Esta agusto estar en tu casa,No,Mayor,El profesor no explica bien,Presencial,Presencial,Hago 4 hrs totales en transporte,No,Ingenieria en Computacion,Mejor planificacion
Presencial,Mayor agilidad ,Si,Mayor,No es mi estilo de aprendizaje,Presencial,Presencial,Por los camiones ,No,Contaduría ,Menos tarea 
Presencial,Porque ayuda a la explicación de diversos temas.,No,Mayor,El profesor no explica bien,Presencial,Virtual,Porque investigo lo temas por mi cuenta.,No,BGC,Mayor explicación de temas con ejemplos.
Virtual,Porque me da más tiempo de hacer cosas al no tener la necesidad de desplazarme de centro universitario ,Si,Mayor,"Porque no miden los maestros la dimensión de sus tareas, pero como quieren ellos entregar planeaciones más completas y llenas para quedar bien y tener evidencias extras, se olvidan de el gran abanico de materias que pudiera tener el alumno.",Presencial,Virtual,"Por el incremento de tareas y ""material didáctico"" inecesario que comparten",Tal vez,C. De la comunicación y Artes Escénicas ,"Medir la dimensión del material seleccionando como apoyo y las tareas para cumplir el trabajo sin exceder los tiempos designados de aprendizaje, al igual que a los alumnos a perder el miedo de usar herramientas para mejor la eficacia de sus propios trabajos y exposiciones."
Presencial,Aprendo mas,Si,Mayor,El profesor no explica bien,Presencial,Virtual,Tengo que buscar los temas por mi cuenta,No,Administración,Menos tarea
Presencial,Mayor agilidad ,Si,Mayor,No es mi estilo de aprendizaje,Presencial,Presencial,Por los camiones ,No,Contaduría ,Menos tarea 
Presencial,Siento que aprendo mejor presencialmente,Si,Mayor,El profesor no explica bien,Presencial,Presencial,Pues aun que tengo que caminar me distraigo y llegó a hacer tarea y en cambio en linea con cualquier cosa en Youtube o en Facebook es fácil perder mucho tiempo,Tal vez,Ingeniería mecánica eléctrica,Mayor atención a las dudas que surgen en el curso
Presencial,Es menos aburrido ,Si,Mayor,No es mi estilo de aprendizaje,Presencial,Virtual,"Dejan más tarea, por lo tanto es más tiempo ",Tal vez,Licenciatura Química ,"Mayor capacitación para maestros, toma mucho tiempo de espera entre micrófonos, cámaras, Internet etc. "
Virtual,"Porque me permite trabajar desde casa, además de que así me ahorro aproximadamente 4 horas del día que invierto en transportarme de un lugar a otro. Tengo más tiempo para enfocarlo en tareas y desarrollo profesional.",Tal vez,La misma,El profesor no explica bien,Virtual,Presencial,"Porque es pérdida de tiempo el transporte de mi casa al trabajo y del trabajo a la escuela, etc. Es tiempo perdido que no me es productivo.",Si,Tecnologías de la Información,"Que a los profesores se les capacite en cuanto a la comunicación asertiva, en el manejo de tecnologías y administración de tiempo. Que los profesores cambien la mentalidad y técnica pedagoga en la que sus clases consisten en hacee que los alumnos trabajen en equipo para hacer exposiciones que no sirven para nada. Muchos de ellos no dan una sola clase en todo el semestre, si no, los alumnos. No se aprende nada."
Presencial,A mí parecer se aprende mucho más estando presencial,Si,La misma,NA,Presencial,Presencial,Por las distancias que tengo que recorrer para llegar a la uni,Tal vez,ING. En computación ,Mayor dedicación a cada alumno 
Virtual,Es mas comodo,Si,La misma,Demasiados distractores,Virtual,Presencial,Mucho tiempo de traslado entre casa y Universidad,Si,Ingenieria en Computacion,Mayor capacitacion a tanto profesores como alumnos
Presencial,No me puedo concentrar igual en casa,No,La misma,No es mi estilo de aprendizaje,Virtual,Virtual,Requiero más tiempo para comprender las cosas ,Tal vez,Odontología,"Ser más empático, no saturarnos "
Virtual,Es más eficaz,Si,Menor,Mayor cantidady menor calidad,Virtual,Presencial,TRANSporte,Tal vez,Ingeniería en Informatica,Compromiso
Virtual,Me gusta trabajar fuera de la barrera espacio-tiempo.,Si,Mayor,"La experiencia con los maestros no es la misma que presencial por muchos factores, sin embargo, al estar estudiando una carrera enfocada a las ciencias computacionales, es común que varios docentes ya apliquen este tipo de modalidad desde tiempo atrás, sin embargo, no estamos del todo acostumbrados.",Virtual,Presencial,"Por las clases presenciales, en cuánto a los horarios. No hay tanta flexibilidad de tiempo.",Si,Ingeniería en Computación,Mejor infraestructura de red y protocolos obligatorios de clase en esta nueva modalidad.
Presencial,"Ni los profesores ni los alumnos estaban acostumbrados a tomar clases virtuales, haciendo que, el aprovechamiento académico disminuyera",Si,La misma,Demasiados distractores,Presencial,Presencial,Perdía mucho tiempo de camino a la escuela,Tal vez,Derecho,"Capacitación para los maestros, un plan de estudios bien elaborado y con tiempo suficiente para que este sea eficiente y más interacción con todos los alumnos"
Presencial,Administraba mejor mi tiempo y podía concentrarme más.,Tal vez,La misma,No es mi estilo de aprendizaje,Presencial,Presencial,Había menos distracciones para estudiar,Tal vez,Ingeniería en computacion,Que las clases sean más didácticas 
Presencial,El aislamientos es demasiado para mi psique,No,La misma,No cambió nada,Virtual,Virtual,Investigando las mamadas que no explican,Tal vez,Ingeniería robotica,Mejor infraestructura de red y protocolos obligatorios de clase en esta nueva modalidad.
Presencial,Puedes pedir al profesor que responda tus dudas apenas te surja una.,Si,La misma,Demasiados distractores,Presencial,Virtual,Puedo aprovechar el tiempo que hago a la clases para estudiar,Tal vez,INCO,Que se busque la forma para que los profesores tengan más contacto con los alumnos
Virtual,Más sencillez por el mismo resultado,Si,La misma,Resulta tedioso realizar tanta tarea sin proposito,Virtual,Presencial,Transporte,Tal vez,Ingeniería en Quimica,"Medir la dimensión del material seleccionando como apoyo y las tareas para cumplir el trabajo sin exceder los tiempos designados de aprendizaje, al igual que a los alumnos a perder el miedo de usar herramientas para mejor la eficacia de sus propios trabajos y exposiciones."
Presencial,"La interacción con el profesor es más directa, hay menos interrupciones y te obliga a aprestar más atención",Si,Mayor,No es mi estilo de aprendizaje,Presencial,Presencial,Por el trasporte y arreglo personal,Si,Sistemas ,Estandarisar poataformas
Presencial,"Creo que todos los estudiantes expresamos de mejor manera nuestras dudas y dificultades, estando con los maestros y compañeros. ",Si,Mayor,Demasiados distractores,Presencial,Virtual,"Cuando estaba en clases presenciales me levantaba a la seis de la mañana pero a mas tardar a las tres ya estaba en mi casa, en clases virtuales de igual manera tenemos que levantarnos temprano pero agregando que te consume casi todo el tiempo, terminas hasta muy tarde de hacer tareas.",Tal vez,Licenciatura en negocios internacionales ,"Que todos nos apoyemos, tanto como alumnos y maestros, ya que actualmente la tecnología a avanzado mucho y no todos pueden desenvolverse de la misma manera, así que hay que ser más empáticos y ayudarnos entre todos. "
Virtual,"Ahorro dinero, no me roban, duermo más y no pierdo información ya que las clases presenciales hay que estudiar por mi cuenta.",No,La misma,No hay incremento,Presencial,Presencial,"Hago 1 hora en ir, tengo que arreglarme (no puedo ir en pijama), el camión puede tardar más de lo especulado, otra hora de regreso, preparar desayuno o simplemente ir a un lugar de allá para pedir de comer",No,Ingeniería en computación,Preparar tal cual la clase para modalidad virtual y no tratar de hacer lo mismo que se haría en clase presencial esperando tener los mismos resultados. No son lo mismo y por ende no se pueden enseñar igual.
Presencial,La convivencia,Si,Menor,No se,Presencial,Presencial,"Traslado, cambiarme ",No,Ingeniería electronica,"Menos tareas, y mas practicas con ejercicios prácticos"
Virtual,Se puede trabajar y estudiar con mayor facilidad,Si,Mayor,El profesor no explica bien,Virtual,Virtual,Había menos distracciones para estudiar,No,Licenciatura en leyes,Comenzar con un sistema híbrido
Presencial,"Hay mejor interacción con los profesores, mejor comunicación y menos distracciones.",Si,La misma,No es mi estilo de aprendizaje,Presencial,Presencial,"Traslado a la escuela, tareas y lecturas en horarios de clase.",Tal vez,Derecho,"Uso de plataformas o aplicaciones más sencillas, intuitivas y prácticas para facilitar el desarrollo de la clase virtual."
Virtual,Mayor agilidad,Si,La misma,No es mi estilo de aprendizaje,Virtual,Presencial,Porque el translado + tiempo muerto (tiempo entre clases) es mucho,No,Letras,"Menos tareas, y mas practicas con ejercicios prácticos"
Virtual,Mayor agilidad,Si,La misma,al chl,Virtual,Presencial,TRANSporte,No,Licenciatura en leyes,Comenzar con un sistema híbrido
Virtual,Aprovecho mejor mi tiempo,Si,La misma,meco,Presencial,Presencial,TRANSporte,Tal vez,Ingeniería en computación,"Capacitación para los maestros, un plan de estudios bien elaborado y con tiempo suficiente para que este sea eficiente y más interacción con todos los alumnos"
Presencial,Me concentro mejor ,Si,Mayor,El profesor no explica bien,Presencial,Presencial,"Es otra locación
",No,Derecho ,El mayor aprovechamiento del tiempo en clase 
Presencial,Me duermo menos y de paso ves a las nenas,Si,Mayor,No es mi estilo de aprendizaje,Presencial,Presencial,por el traslado ,No,Medicina,plataformas más interactivas y que todos cuenten con buenos recursos para evitar fallas técnicas 
Presencial,"No hay que lidiar con fallas de en materiales y equipos en presencial, no despertarse tan temprano para llegar a clases y en simulación nada se quema, pero también tiene sus contras como menos formas de aprender o ayuda y se siente más tarea",Si,La misma,No hay posibilidad de explicaciones cara a cara y claras con el profesor y demasiados distractores ,Presencial,Presencial,Tareas simuladas y tareas físicas así como tiempos de traslado y conseguir materiales,No,Ingeniería Mecatronica,No dejar investigaciones o saturaciones de tareas de manera alocada
